NAMA PEMOHON LELANG/PENJUAL,LOKASI,TAHUN LELANG,NILAI LIMIT,POKOK LELANG,URAIAN BARANG,Merk,Type,Tahun Kendaraan,Isi Silinder,Dok Kepemilikan
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,1002000,1502000,"Satu Unit Sepeda Motor, Merk Honda Supra X 125, Warna Merah Hitam, Tahun Pembuatan 2009,  Nomor Polisi EB 565 AG, Nomor Rangka MH1JB81129K425378, Nomor Mesin JB81E-1420597, BPKB Tidak Ada, STNK Ada, Kondisi Sedang",Honda,Supra X,2009,125,STNK
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,722000,722000,"Satu Unit Sepeda Motor, Merk Honda Win, Warna -, Tahun Pembuatan 2004,  Nomor Polisi -, Nomor Rangka MH1HABD103K032979, Nomor Mesin HABDE1032415, BPKB Tidak Ada, STNK Tidak Ada, Kondisi Sedang",Honda,Win,2004,100,Tidak Ada
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,998000,1398000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna -, Tahun Pembuatan 2008,  Nomor Polisi EB 746 G, Nomor Rangka MH1KC121X8K083930, Nomor Mesin KC12E1084075, BPKB Tidak Ada, STNK Tidak Ada, Kondisi Sedang",Honda,Mega Pro,2008,150,Tidak Ada
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,976000,1376000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna Hitam, Tahun Pembuatan 2007,  Nomor Polisi EB 709 G, Nomor Rangka MH1KC11117K059662, Nomor Mesin KC11E-1059365, BPKB Tidak Ada, STNK Ada, Kondisi Sedang",Honda,Mega Pro,2007,150,STNK
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,1085000,1585000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna Hitam, Tahun Pembuatan 2007,  Nomor Polisi EB 710 G, Nomor Rangka MH1KC11167K059656, Nomor Mesin KC11E-1059358, Nomor BPKB E NO 5339098, STNK Ada, Kondisi Sedang",Honda,Mega Pro,2007,150,STNK
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,1487000,1487000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna -, Tahun Pembuatan 2011,  Nomor Polis EB 637 AG, Nomor Rangka MH1KC3119BK077640, Nomor Mesin KC31E-1076257, BPKB Tidak Ada, STNK Ada, Kondisi Sedang",Honda,Mega Pro,2011,150,STNK
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,1982000,3682000,"Satu Unit Sepeda Motor, Merk Yamaha RX King, Warna Biru, Tahun Pembuatan 2005,  Nomor Polis EB 710 AG, Nomor Rangka MH33KA0155K771744, Nomor Mesin 3KA745711, BPKB Tidak Ada, STNK Ada, Kondisi Sedang",Yamaha,RX King,2005,130,STNK
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,1696000,7096000,"Satu Unit Sepeda Motor, Merk Yamaha RX King, Warna Merah, Tahun Pembuatan 2005,  Nomor Polis EB 585 F, Nomor Rangka MH33KA0155K764547, Nomor Mesin 3KA-736845, BPKB Tidak Ada, STNK Ada, Kondisi Sedang",Yamaha,RX King,2005,130,STNK
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,1441000,3541000,"Satu Unit Sepeda Motor, Merk Yamaha RX King, Warna Biru, Tahun Pembuatan 2005,  Nomor Polis EB 707  AG, Nomor Rangka MH33KA0155K771749, Nomor Mesin 3KA-745713, BPKB Tidak Ada, STNK Ada, Kondisi Sedang",Yamaha,RX King,2005,130,STNK
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,936000,1436000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna Hitam, Tahun Pembuatan 2008,  Nomor Polisi EB 775 G, Nomor Rangka MH1KC11168K139590, Nomor Mesin  KC11E1142154, Nomor BPKB F NO 0589020 O, STNK Ada, Kondisi Sedang",Honda,Mega Pro,2008,150,STNK
