NAMA PEMOHON LELANG/PENJUAL,LOKASI,TAHUN LELANG,NILAI LIMIT,POKOK LELANG,URAIAN BARANG,Merk,Type,Tahun Kendaraan,Isi Silinder,Dok Kepemilikan
Kantor Pertanahan Kabupaten Timur Tengah Selatan,Timor Tengah Selatan,2022,450000,4099999,"1 (satu) unit Kendaraan roda 2 (dua) , merk/type: Yamaha/RX King , tahun pembuatan 2001, Warna Hitam, Nomor Mesin: 3KA-413860 Nomor Rangka : MH33KA0081 K439839 Nomor Polisi DH 2443 WU, atas nama BPN Kabupaten Timor Selatan, memiliki BPKB dan STNK, Kondisi apa adanya",Yamaha,RX King,2001,130,Tidak Ada
Kantor UPBU Komodo,Manggarai Barat,2022,1500000,1500000,"1 (satu) Unit Kendaraan Roda 2 (dua), Merk/Type Honda / NF 125 SD, Jenis Sepeda Motor, Model NF 125 SD, Tahun 2006, Warna Hitam Silver, Nomor Mesin JB5IE-1442923, Nomor Rangka MH1JB51156K449314, Nomor Polisi EB 505 G, sesuai Dokumen BPKB dan STNK",Honda,Supra X,2006,125,Tidak Ada
Kantor UPBU Komodo,Manggarai Barat,2022,2000000,2900000,"1 (satu) Unit Kendaraan Roda 2 (dua), Merk/Type Honda / GL 160 D, Jenis Sepeda Motor, Model GL 160 D, Tahun 2007, Warna Hitam, Nomor Mesin KCIIE-1112823, Nomor Rangka MH1KC11127K110683, Nomor Polisi EB 732 G, sesuai Dokumen BPKB dan STNK.",Honda,GL 160,2007,160,Tidak Ada
Kantor UPBU Komodo,Manggarai Barat,2022,2000000,2100000,"1 (satu) Unit Kendaraan Roda 2 (dua), Merk/Type Honda / NF 100 SE, Jenis Sepeda Motor, Model NF 100 SE, Tahun 2007, Warna Hitam, Nomor Mesin HB71E-1148711, Nomor Rangka MH1HB71117K152665, Nomor Polisi EB 734 G, sesuai Dokumen BPKB dan STNK.",Honda,Supra,2007,100,Tidak Ada
Kantor UPBU Komodo,Manggarai Barat,2022,2900000,2900000,"1 (satu) Unit Kendaraan Roda 2 (dua), Merk/Type Honda / NF 125 TR, Jenis Sepeda Motor, Model Solo, Tahun 2010, Warna Hitam, Nomor Mesin JB91E2287125, Nomor Rangka MH1JB9124AK293162, Nomor Polisi EB 622 AG, sesuai Dokumen BPKB dan Dokumen STNK tidak ada sesuai Surat Pernyataan Tanggung Jawab Nomor : PL.402/6/738/UPBU.Kmd-2022 tanggal 23 Juni 2022.",Honda,Supra X,2010,125,STNK
Kantor UPBU Komodo,Manggarai Barat,2022,2500000,4300000,"1 (satu) Unit Kendaraan Roda 2 (dua), Merk/Type Honda / NF 125 TR, Jenis Sepeda Motor, Model Solo, Tahun 2010, Warna Putih Merah, Nomor Mesin JB91E2071255, Nomor Rangka MH1JB9129AK077789, Nomor Polisi EB 623 AG, sesuai Dokumen BPKB dan Dokumen STNK tidak ada sesuai Surat Pernyataan Tanggung Jawab Nomor : PL.402/6/738/UPBU.Kmd-2022 tanggal 23 Juni 2022.",Honda,Supra X,2010,125,STNK
Kantor UPBU Komodo,Manggarai Barat,2022,4000000,5800000,"1 (satu) Unit Kendaraan Roda 2 (dua), Merk/Type Honda / ACB2J21B02 A/T, Jenis Sepeda Motor, Model Solo, Tahun 2014, Warna Hitam, Nomor Mesin JFJ1E1276068, Nomor Rangka MH1JFJ116EK277872, Nomor Polisi EB 411 WP, sesuai Dokumen BPKB Nomor : L-12746634 dan STNK Nomor 0084804 atas nama Bandar Udara Komodo.",Honda,Vario,2014,125,BPKB dan STNK
Kantor UPBU Komodo,Manggarai Barat,2022,4000000,4200000,"1 (satu) Unit Kendaraan Roda 2 (dua), Merk/Type Honda / ACB2J21B02 A/T, Jenis Sepeda Motor, Model Solo, Tahun 2014, Warna White Blue, Nomor Mesin JFJ1E1270776, Nomor Rangka MH1JFJ11YEK268818, Nomor Polisi EB 412 WP, sesuai Dokumen BPKB Nomor : L-12746635 dan STNK Nomor 0084814 atas nama Bandar Udara Komodo",Honda,Vario,2014,125,BPKB dan STNK
Kantor UPBU Komodo,Manggarai Barat,2022,4000000,6000000,"1 (satu) Unit Kendaraan Roda 2 (dua), Merk/Type Honda / ACB2J21B02 A/T, Jenis Sepeda Motor, Model Solo, Tahun 2014, Warna Hitam, Nomor Mesin JFJ1E1295345, Nomor Rangka MH1JFJ116EK295045, Nomor Polisi EB 437 WP (Sekarang Nopol EB 3608 WG), sesuai Dokumen BPKB Nomor : L-12746394 atas nama Bandar Udara Komodo Kab. Manggarai Barat.",Honda,Vario,2014,125,BPKB
Stasiun Geofisika Kupang,Kota Kupang,2022,1994000,4444444,"1 (satu) buah Sepeda motor, Honda Mega Pro Keluaran Tahun 2003, dengan No Polisi : DH 3183 GW dan BPKB No.C-5482537 Odengan kondisi rusak berat milik Stasiun Geofisika Kupang",Honda,Mega Pro,2003,150,BPKB
Stasiun Geofisika Kupang,Kota Kupang,2022,2081000,4555555,"1 (satu) buah Sepeda motor, Honda Mega Pro Keluaran Tahun 2004, dengan No Polisi DH 2324 GW dan BPKB No.D-0894847 O dengan kondisi rusak berat",Honda,Mega Pro,2004,150,BPKB
Stasiun Geofisika Kupang,Kota Kupang,2022,2341000,4555555,"1 (satu) buah Sepeda motor, Honda Mega Pro Keluaran Tahun 2006, dengan No Polisi : DH 2242 WB dan BPKB No.D-9748730 O dalam kondisi rusak berat",Honda,Mega Pro,2006,150,BPKB
Bandar Udara DC Saudale Rote Ndao,Rote Ndao,2022,1000000,1500000,"Satu unit kendaraan roda dua, merk Honda, Type NF 125 SD, Jenis/Model Sepedamotor, Tahun 2005, isi silinder 125 cc, Nomor Rangka : MH1JB51116K445812, Nomor Mesin : JB51E-1439983, dengan Nomor Polisi DH 5733 VB, sebagaimana tertuang dalam Surat Tanda Nomor Kendaraan Bermotor
(STNK) Nomor : 06204553.B, a.n. Bandar Udara Lekunik, Dokumen BPKB Tidak Ada sesuai Surat Pernyataan Barang-barang Tidak Disertai Bukti Kepemilikan Nomor : PL.402/1346/VII/UPBU.RTI/2022 tanggal 11 Juli 2022.",Honda,Supra X,2005,125,Tidak Ada
Bandar Udara DC Saudale Rote Ndao,Rote Ndao,2022,1000000,1250255,"Satu unit kendaraan roda dua, merk Honda, Type NF 125 SD, Jenis/Model Sepedamotor, Tahun 2006, isi silinder 125 cc, Nomor Polisi : DH 2048 WT ---------- Tahun : 2006, Warna : Biru Merah, Nomor Rangka : MH1JB52126K145405 --------- Nomor Mesin : JB52E - 1145359, sebagaimana tertuang dalam Surat Tanda Nomor Kendaraan Bermotor (STNK) Nomor : 01777722.D, a.n. Bandar Udara Lekunik, Dokumen BPKB Tidak Ada sesuai Surat Pernyataan Barang-barang Tidak Disertai Bukti Kepemilikan Nomor : PL.402/1346/VII/UPBU.RTI/2022 tanggal 11 Juli 2022",Honda,Supra X,2006,125,Tidak Ada
Poltek Kelautan dan Perikanan Kupang,Kota Kupang,2022,1358000,4565555,"1 (satu) unit Motor, Merk Honda GL 160D, Tahun Pembuatan 2007, Nomor Polisi B 6566 SQG, Nomor Rangka MH1KC12157K043592, Nomor Mesin KC12E1043644, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 160 cc, BPKB E No. 5873108 G atas nama Pusat Pendidikan Kelautan dan Perikanan dalam kondisi rusak berat -",Honda,GL 160,2007,160,Tidak Ada
Pemda Belu,Belu,2022,1963960,3777777,"1 (satu) unit Sepeda Motor, Merk Honda, Type MCB, Tahun 2005, Nomor Polisi DH 2036 WF (Eks DH 594 EE), Nomor Rangka MH1HABD185K101873, Nomor Mesin HABDE-1101694, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100 CC, BPKB D No 7396022 O dalam kondisi rusak berat (BPKB dan STNK Lengkap)",Honda,Win MCB,2005,100,Tidak Ada
Pemda Belu,Belu,2022,1876530,4402111,"1 (satu) unit Sepeda Motor, Merk Honda, Type MCB, Tahun 2002, Nomor Polisi DH 2240 WR (Eks DH 574 EC), Nomor Rangka MH1HABB152K-030453, Nomor Mesin HABBE-1030483, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100 CC, BPKB B No 0423256 O dalam kondisi rusak berat (BPKB dan STNK Lengkap).",Honda,Win MCB,2002,100,Tidak Ada
Pemda Belu,Belu,2022,2014740,5000005,"1 (satu) unit Sepeda Motor, Merk Yamaha, Type YT 115, Tahun 2003, Nomor Polisi DH 2527 WF (Eks DH 543 EA), Nomor Rangka MH33WL0043K154677, Nomor Mesin 3HB-313059, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 115 CC, BPKB C No 5801923 O dalam kondisi rusak berat (BPKB dan STNK lengkap).",Yamaha,YT 115,2003,115,Tidak Ada
Pemda Belu,Belu,2022,1107000,2777777,"1 (satu) unit Sepeda Motor, Merk Honda, Type MCB, Tahun 1996, Nomor Polisi DH 2396 WR (Eks DH 567 E/DH 2152 WF), Nomor Rangka MH1HA000SSK174159, Nomor Mesin HAE-2273883, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100 CC, BPKB A No 6362550 O dalam kondisi rusak berat (BPKB dan STNK Lengkap).",Honda,Win MCB,1996,100,Tidak Ada
Pemda Belu,Belu,2022,1070010,1555555,"1 (satu) unit Sepeda Motor, Merk Suzuki, Type FK 110 SD KG, Tahun 2008, Nomor Polisi DH 2198 WR (Eks DH 588 BE/ DH 2645 WF), Nomor Rangka MH8BE4DFA8J524679, Nomor Mesin E451-ID-530603, Warna Biru Hitam, Bahan Bakar Bensin, Isi Silinder 110 CC, BPKB F No 0585104 O dalam kondisi rusak berat (BPKB dan STNK Lengkap).",Suzuki,Smash,2008,110,Tidak Ada
Pemda Belu,Belu,2022,1890740,2761000,"1 (satu) unit Sepeda Motor, Merk Suzuki, Type FK 110 SD KG, Tahun 2008, Nomor Polisi DH 2161 WR (Eks DH 559 CE/DH 2647 YG), Nomor Rangka MH8BE4DFA8J523356, Nomor Mesin E451-ID-529558, Warna Biru Hitam, Bahan Bakar Bensin, Isi Silinder 110 CC, BPKB F No 0585116 O dalam kondisi rusak berat (BPKB dan STNK Lengkap).",Suzuki,Smash,2008,110,Tidak Ada
Pemda Belu,Belu,2022,1631700,3377777,"1 (satu) unit Sepeda Motor, Merk Honda, Type MCB, Tahun 2005, Nomor Polisi DH 2751 WF (Eks DH 563 EF/DH 381 FE), Nomor Rangka MH1HABD1X5K124572, Nomor Mesin HABDE-1123894, Warna Hitam, Bahan Bakar Bensin , Isi Silinder 100 CC, BPKB D No 6305783 dalam kondisi rusak berat (BPKB dan STNK Lengkap).",Honda,Win MCB,2005,100,Tidak Ada
Pemda Belu,Belu,2022,1914810,2377777,"1 (satu) unit Sepeda Motor, Merk Suzuki, Type FK 110 SD KG, Tahun 2008, Nomor Polisi DH 2160 WR (Eks DH 598 BE/DH 2639 YG), Nomor Rangka MH8BE4DFA8J522880, Nomor Mesin E451-ID-526214, Warna Biru Hitam , Bahan Bakar Bensin, Isi Silinder 110 CC, BPKB F No 0585114 O dalam kondisi rusak berat (BPKB dan STNK Lengkap).",Suzuki,Smash,2008,110,Tidak Ada
Pemda Belu,Belu,2022,2532070,3126000,"1 (satu) unit Sepeda Motor, Merk Suzuki, Type EN 125 A, Tahun 2008, Nomor Polisi DH 2285 YG (Eks DH 423 EE ), Nomor Rangka MH8EN125A8J512690, Nomor Mesin F405-ID-513152, Warna Biru Hitam, Bahan Bakar Bensin, Isi Silinder 125 CC, BPKB F No 0585163 O dalam kondisi rusak berat (BPKB dan STNK Lengkap).",Suzuki,Thunder,2008,125,Tidak Ada
Pemda Belu,Belu,2022,2532070,3015080,"1 (satu) unit Sepeda Motor, Merk Suzuki, Type EN 125 A, Tahun 2008, Nomor Polisi DH 2279 YH (Eks DH 411 FE), Nomor Rangka MH8EN125A8J581910, Nomor Mesin F405-ID-581847, Warna Biru, Bahan Bakar Bensin, Isi Silinder 125 CC, BPKB F No 3062907 O dalam kondisi rusak berat (BPKB dan STNK Lengkap).",Suzuki,Thunder,2008,125,Tidak Ada
Pemda Belu,Belu,2022,2532070,3456789,"1 (satu) unit Sepeda Motor, Merk Suzuki, Type EN 125 A, Tahun 2008, Nomor Polisi DH 2174 WR (Eks DH 441 DE/DH 2294 YG), Nomor Rangka MH8EN125A8J515065, Nomor Mesin F405-ID-514925, Warna Biru Hitam, Bahan Bakar Bensin, Isi Silinder 125 CC, BPKB F No 0585131 O dalam kondisi rusak berat (BPKB dan STNK Lengkap).",Suzuki,Thunder,2008,125,Tidak Ada
Pemda Belu,Belu,2022,1272240,1303000,". 1 (satu) unit Sepeda Motor, Merk Suzuki, Type EN 125 A, Tahun 2008, Nomor Polisi DH 2240 YH (Eks DH 437 EE), Nomor Rangka MH8EN125A8J515241, Nomor Mesin F405-ID-514439, Warna Silver Hitam, Bahan Bakar Bensin, Isi Silinder 125 CC, BPKB F No 0585177 O dalam kondisi rusak berat (BPKB dan STNK Lengkap).",Suzuki,Thunder,2008,125,Tidak Ada
Pemda Belu,Belu,2022,1550880,3555555,"1 (satu) unit Sepeda Motor, Merk Honda, Type MCB, Tahun 2003, Nomor Polisi DH 2120 YH (Eks DH 385 CE/DH 577 ED), Nomor Rangka MH1HABD133K-016582, Nomor Mesin HABDE-1016479, Warna Hitam , Bahan Bakar Bensin, Isi Silinder 100 CC, BPKB C No 6264992 O dalam kondisi rusak berat (BPKB dan STNK Lengkap).",Honda,Win MCB,2003,100,Tidak Ada
Pemda Belu,Belu,2022,306000,2555555,"1 (satu) unit Sepeda Motor, Merk Honda, Type MCB, Tahun 2003, Nomor Polisi DH 2121 YH (Eks 578 ED), Nomor Rangka MH1HABD153K-018611, Nomor Mesin HABDE-1017958, Warna Hitam , Bahan Bakar Bensin, Isi Silinder 100 CC, BPKB C No 6264993 O dalam kondisi rusak berat (BPKB dan STNK Lengkap).",Honda,Win MCB,2003,100,Tidak Ada
Bandara Soa Bajawa,Ngada,2022,750000,1050000,"Satu unit kendaraan roda dua, merk Honda, Type NF 100 SLD, Jenis Sepedamotor, Tahun 2006, isi silinder 100 cc, Warna Hitam, Nomor Rangka MHIHB41146K336933, Nomor Mesin HB41E-1312447, dengan Nomor Polisi EB 587 WD sebagaimana tertuang dalam Buku Pemilikan Kendaraan Bermotor (BPKB) D Nomor 9750690 O, dan Surat Tanda Nomor Kendaraan Bermotor (STNK) Nomor : 06122388.B atas nama Kantor Bandara Soa.",Honda,Supra Fit,2006,100,Tidak Ada
Cabang Kejaksaan Negeri Manggarai di Reo,Manggarai,2022,1986000,3500000,"01 unit Sepeda motor, Honda Beat Pop Matic warna putih Tahun 2016,110 CC Nomor Rangka MH1JFS117GK320561 Nomor Mesin AHM20-OK44108CM Tanpa Nopol dan tidak dilengkapi bukti Kepemilikan (tanpa BPKB dan STNK)",Honda,Beat Pop,2016,110,Tidak Ada
KPP Pratama Kupang,Kota Kupang,2022,2266000,5279999,"01 unit Kendaraan roda dua, merk Yamaha Jupiter Z 110 cc Tahun 2005 Warna Hitam Orange, Nomor Rangka MH35TPOO65K608710 Nomor Mesin 5TP-833476",Yamaha,Jupiter Z,2005,110,Tidak Ada
UPP Kelas III Marapokot,Nagekeo,2022,500000,1900000,"01 (satu) unit kendaraan bermotor roda dua, merk Yamaha type 5D9 Vega ZR Tahun 2010 Nomor Polisi EB 4811 WA Nomor Rangka MH35D9001AJ458911 Nomor Mesin 5D9-458947 kondisi rusak berat",Yamaha,Vega ZR,2010,110,Tidak Ada
Kementerian Agama Kantor Kab. Manggarai,Manggarai,2022,250000,300000,"01 (satu) unit kendaraan bermotor roda dua, Merk Honda Supra 110 CC Tahun Perolehan 2005, Nomor Rangka MH1KEV4181K05567, Nomor Mesin KEV4E1057602 Nopol B 4916, tidak dilengkapi Bukti Kepemilikan (BPKB) dalam kondisi rusak berat",Honda,Supra,2005,110,Tidak Ada
Pemda Lembata,Lembata,2022,353000,1234555,"1 (satu) unit Sepeda Motor, Merk Honda, Type NF125TD, Tahun Pembuatan 2009, Nomor Polisi EB 601 FA, Nomor Rangka MH1JB81169K420779, Nomor Mesin JB81E-1416311, Warna Putih-Hitam, Bahan Bakar Bensin, Isi Silinder 125 CC, BPKB F No. 4029460 O dalam kondisi rusak berat (BPKB ada, STNK 2024, Pajak 2021).",Honda,Supra X,2009,125,BPKB
Pemda Lembata,Lembata,2022,1170000,5500999,"1 (satu) unit Sepeda Motor, Merk Honda, Type GL160D, Tahun Pembuatan 2007, Nomor Polisi EB 856 F, Nomor Rangka MH1KC11177K112574, Nomor Mesin KC11E-1114608, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 160 CC, BPKB F No. 2380522 O dalam kondisi rusak berat (BPKB ada, STNK 2023, Pajak 2023).",Honda,GL 160D,2007,160,BPKB
Pemda Lembata,Lembata,2022,1550500,1550500,"1 (satu) unit Sepeda Motor, Merk Honda, Type GL160D, Tahun Pembuatan 2008, Nomor Polisi EB 2787 WF (Eks EB 888 F), Nomor Rangka MH1KC12148K105131, Nomor Mesin KC12E-1104995, Warna Merah, Bahan Bakar Bensin, Isi Silinder 160 CC, BPKB F No. 8143906 O dalam kondisi rusak berat (BPKB ada, STNK 2022, Pajak 2022)",Honda,GL 160D,2008,160,BPKB
Pemda Lembata,Lembata,2022,146000,2000000,"1 (satu) unit Sepeda Motor, Merk Honda, Type NF 100 SE, Tahun Pembuatan 2008, Nomor Polisi EB 2896 WF (Eks EB 885 F), Nomor Rangka MH1HB71168K533817, Nomor Mesin HB71E-1529703, Warna Hitam-Silver, Bahan Bakar Bensin, Isi Silinder 100 CC, BPKB F No. 3062055 O dalam kondisi rusak berat (BPKB ada, STNK 2023, Pajak 2022).",Honda,Supra Fit,2008,100,BPKB
Pemda Lembata,Lembata,2022,850000,2550999,"1 (satu) unit Sepeda Motor, Merk Honda, Type GL160D, Tahun Pembuatan 2010, Nomor Polisi EB 654 FA, Nomor Rangka MH1KC1114AK246904, Nomor Mesin KC11E-1248516, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 160 CC, BPKB F No. 8143738 O dalam kondisi rusak berat (BPKB ada, STNK 2025, Pajak 2023). -- Nilai Limit : Rp850.000,00 (delapan ratus lima puluh ribu rupiah)",Honda,GL 160D,2010,160,BPKB
Pemda Lembata,Lembata,2022,993000,2979999,"1 (satu) unit Sepeda Motor, Merk Honda, Type GL160D, Tahun Pembuatan 2010, Nomor Polisi EB 655 FA, Nomor Rangka MH1KC1114AK246854, Nomor Mesin KC11E-1248586, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 160 CC, BPKB F No. 8143739 O dalam kondisi rusak berat (BPKB ada, STNK 2025, Pajak 2023).",Honda,GL 160D,2010,160,BPKB
Pemda Lembata,Lembata,2022,315000,2433004,"1 (satu) unit Sepeda Motor, Merk Honda, Type MCB, Tahun Pembuatan 2004, Nomor Polisi EB 658 FA (Eks EB 594 DB), Nomor Rangka MH1HABD1X4K076960, Nomor Mesin HABDE-1076311, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 100 CC, BPKB D No. 4180415 O dalam kondisi rusak berat (BPKB ada, STNK 2025, Pajak 2023).",Honda,Win MCB,2004,100,BPKB
Pemda Lembata,Lembata,2022,420000,3000000,"1 (satu) unit Sepeda Motor, Merk Honda, Type NF 100 SL, Tahun Pembuatan 2006, Nomor Polisi EB 5010 WN (Eks EB 5010 F), Nomor Rangka MH1HB31196 K551069, Nomor Mesin HB31E-1547401, Warna Biru-Putih, Bahan Bakar Bensin, Isi Silinder 100 CC, BPKB F No. 2380046 O dalam kondisi rusak berat (BPKB ada, STNK 2027, Pajak 2023).",Honda,Supra Fit,2006,100,BPKB
Pemda Lembata,Lembata,2022,280000,2111111,"1 (satu) unit Sepeda Motor, Merk Honda, Type NF 100 SL, Tahun Pembuatan 2006, Nomor Polisi EB 5008 WN (Eks EB 5008 F), Nomor Rangka MH1HB31146K493856, Nomor Mesin HB31E-1486513, Warna Biru-Putih, Bahan Bakar Bensin, Isi Silinder 100 CC, BPKB F No. 2380052 O dalam kondisi rusak berat (BPKB ada, STNK 2027, Pajak 2023).",Honda,Supra Fit,2006,100,BPKB
Pemda Lembata,Lembata,2022,528000,590000,"1 (satu) unit Sepeda Motor, Merk Honda, Type NF125TD, Tahun Pembuatan 2008, Nomor Polisi EB 531 FA, Nomor Rangka MH1JB811X8K335314, Nomor Mesin JB81E-1332179, Warna Kuning- Hitam, Bahan Bakar Bensin, Isi Silinder 125 CC, BPKB F No. 3790834 O dalam kondisi rusak berat (BPKB ada, STNK 2019, Pajak 2016).",Honda,Supra X,2008,125,BPKB
Pemda Lembata,Lembata,2022,1239000,7201999,"1 (satu) unit Sepeda Motor, Merk Honda, Type CB15A1RRF M/T, Tahun Pembuatan 2013, Nomor Polisi EB 2110 WN, Nomor Rangka MH1KC411XDK044283, Nomor Mesin KC41E-1044390, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 150 CC, BPKB K-02503426 dalam kondisi rusak berat (BPKB ada, STNK 2023, Pajak 2022)",Honda,CBR,2013,150,BPKB
Pemda Lembata,Lembata,2022,1363000,5000000,"1 (satu) unit Sepeda Motor, Merk Honda, Type CB15A1RRF M/T, Tahun Pembuatan 2013, Nomor Polisi EB 2109 WN, Nomor Rangka MH1KC4115DK044286, Nomor Mesin KC41E-1044171, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 150 CC, BPKB K-02503425 dalam kondisi rusak berat (BPKB ada, STNK 2023, Pajak 2022)",Honda,CBR,2013,150,BPKB
Pemda Lembata,Lembata,2022,449000,1777777,"1 (satu) unit Sepeda Motor, Merk Honda, Type NF 100 SLD, Tahun Pembuatan 2006, Nomor Polisi EB 681 F, Nomor Rangka MH1HB41126K726610, Nomor Mesin HB41E-1724447, Warna Biru-Silver, Bahan Bakar Bensin, Isi Silinder 100 CC, BPKB E No. 1526845 O dalam kondisi rusak berat (BPKB ada, STNK 2023, Pajak 2021).",Honda,Supra Fit,2006,100,BPKB
Pemda Lembata,Lembata,2022,449000,2266666,"1 (satu) unit Sepeda Motor, Merk Honda, Type NF 100 SLD, Tahun Pembuatan 2006, Nomor Polisi EB 2000 WN (Eks EB 680 F), Nomor Rangka MH1HB41136K726602, Nomor Mesin HB41E-1724437, Warna Biru-Silver, Bahan Bakar Bensin, Isi Silinder 100 CC, BPKB E No. 1526844 O dalam kondisi rusak berat (BPKB ada, STNK 2022, Pajak 2022)",Honda,Supra Fit,2006,100,BPKB
Pemda Lembata,Lembata,2022,1000000,1200000,"1 (satu) unit Sepeda Motor, Merk Honda, Type GL160D, Tahun Pembuatan 2008, Nomor Polisi EB 833 F, Nomor Rangka MH1KC11178K148606, Nomor Mesin KC11E-1150749, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 160 CC, BPKB F No. 2380763 O dalam kondisi rusak berat (BPKB ada, STNK 2023, Pajak 2021). -",Honda,GL 160D,2008,160,BPKB
Pemda Lembata,Lembata,2022,816000,2548999,"1 (satu) unit Sepeda Motor, Merk Honda, Type GL160D, Tahun Pembuatan 2007, Nomor Polisi EB 879 F, Nomor Rangka MH1KC111X7K120278, Nomor Mesin KC11E-1122403, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 160 CC, BPKB F No. 2380824 O dalam kondisi rusak berat (BPKB ada, STNK 2024, Pajak 2021)",Honda,GL 160D,2007,160,BPKB
Pemda Lembata,Lembata,2022,450000,1555555,"1 (satu) unit Sepeda Motor, Merk Honda, Type GL160D, Tahun Pembuatan 2007, Nomor Polisi EB 881 F, Nomor Rangka MH1KC11197K119137, Nomor Mesin KC11E-1121380, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 160 CC, BPKB F No. 2380875 O dalam kondisi rusak berat (BPKB ada, STNK 2024, Pajak 2021)",Honda,GL 160D,2007,160,BPKB
Pemda Lembata,Lembata,2022,320000,1000000,"1 (satu) unit Sepeda Motor, Merk Honda, Type NF125TR, Tahun Pembuatan 2008, Nomor Polisi EB 862 F, Nomor Rangka MH1JB91158K295309, Nomor Mesin JB91E-1295294, Warna Hitam-Biru, Bahan Bakar Bensin, Isi Silinder 125 CC, BPKB F No. 2380577 O dalam kondisi rusak berat (BPKB ada, STNK 2023, Pajak).",Honda,Supra X,2008,125,BPKB
Pemda Lembata,Lembata,2022,240000,290000,"1 (satu) unit Sepeda Motor, Merk Honda, Type NF125TR, Tahun Pembuatan 2008, Nomor Polisi EB 871 F, Nomor Rangka MH1JB91108K295329, Nomor Mesin JB91E-1295269, Warna Hitam-Biru, Bahan Bakar Bensin, Isi Silinder 125 CC, BPKB F No. 2380811 O dalam kondisi rusak berat (BPKB ada, STNK 2023, Pajak 2021)",Honda,Supra X,2008,125,BPKB
Pemda Lembata,Lembata,2022,320000,1333333,"1 (satu) unit Sepeda Motor, Merk Honda, Type NF125TR, Tahun Pembuatan 2008, Nomor Polisi EB 863 F, Nomor Rangka MH1JB91178K295375, Nomor Mesin JB91E-1295118, Warna Hitam-Biru, Bahan Bakar Bensin, Isi Silinder 125 CC, BPKB F No. 2380889 O dalam kondisi rusak berat (BPKB ada, STNK 2023, Pajak).",Honda,Supra X,2008,125,BPKB
Pemda Lembata,Lembata,2022,240000,2577777,"1 (satu) unit Sepeda Motor, Merk Honda, Type NF125TR, Tahun Pembuatan 2008, Nomor Polisi EB 872 F, Nomor Rangka MH1JB91148K295348, Nomor Mesin JB91E-1295273, Warna Hitam-Biru, Bahan Bakar Bensin, Isi Silinder 125 CC, BPKB F No. 2380890 O dalam kondisi rusak berat (BPKB ada, STNK 2024, Pajak 2021).",Honda,Supra X,2008,125,BPKB
Pemda Lembata,Lembata,2022,843000,1556786,"1 (satu) unit Sepeda Motor, Merk Honda, Type GL15A1D M/T, Tahun Pembuatan 2011, Nomor Polisi EB 2609 WF (Eks EB 790 FA), Nomor Rangka MH1KC211XBK028750, Nomor Mesin KC21E-1028621, Warna Hitam Abu-Abu, Bahan Bakar Bensin, Isi Silinder 150 CC, BPKB H-01687414 dalam kondisi rusak berat (BPKB ada, STNK 2026, Pajak 2022).",Honda,GL Max,2011,150,BPKB
Pemda Lembata,Lembata,2022,843000,2666666,"1 (satu) unit Sepeda Motor, Merk Honda, Type GL15A1D M/T, Tahun Pembuatan 2011, Nomor Polisi EB 2610 WF (Eks EB 791 FA), Nomor Rangka MH1KC2115BK040532, Nomor Mesin KC21E-1040510, Warna Hitam Abu-Abu, Bahan Bakar Bensin, Isi Silinder 150 CC, BPKB H-01687415 dalam kondisi rusak berat (BPKB ada, STNK 2026, Pajak 2022).",Honda,GL Max,2011,150,BPKB
Pemda Lembata,Lembata,2022,750000,2000000,"1 (satu) unit Sepeda Motor, Merk Honda, Type GL15A1RR M/T, Tahun Pembuatan 2012, Nomor Polisi EB 2053 WN, Nomor Rangka MH1KC3112CK235091, Nomor Mesin KC31E-1234827, Warna Hitam, Bahan Bakar Bensin, Isi Silinder 150 CC, BPKB J-03578521 dalam kondisi rusak berat (BPKB ada, STNK 2022, Pajak 2019).",Honda,GL Max,2012,150,BPKB
Pemda Lembata,Lembata,2022,1319000,4777777,"1 (satu) unit Sepeda Motor, Merk Honda, Type CB15A1RRF M/T, Tahun Pembuatan 2013, Nomor Polisi EB 2185 WF, Nomor Rangka MH1KC4116DK164596, Nomor Mesin KC41E-1164667, Warna White - Blue, Bahan Bakar Bensin, Isi Silinder 150 CC, BPKB L-01810385 dalam kondisi rusak berat (BPKB ada, STNK 2024, Pajak 2021).",Honda,CBR,2013,150,BPKB
